Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:08:23.905
Main Camera,0,1,-10,0,0,0,2024-05-03 12:08:23.908
Directional Light,0,3,0,50,330,0,2024-05-03 12:08:23.908
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:08:23.908
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:08:23.908
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:08:23.908
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:08:23.908
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:08:23.908
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:08:25.646
Main Camera,0,1,-10,0,0,0,2024-05-03 12:08:25.646
Directional Light,0,3,0,50,330,0,2024-05-03 12:08:25.646
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:08:25.646
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:08:25.646
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:08:25.646
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:08:25.646
Cursor,0.0273421,1.193436,-9.7,0,0,0,2024-05-03 12:08:25.646
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:08:26.648
Main Camera,0,1,-10,0,0,0,2024-05-03 12:08:26.648
Directional Light,0,3,0,50,330,0,2024-05-03 12:08:26.648
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:08:26.648
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:08:26.648
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:08:26.648
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:08:26.648
Cursor,0.0273421,1.193436,-9.7,0,0,0,2024-05-03 12:08:26.648
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:08:27.650
Main Camera,0,1,-10,0,0,0,2024-05-03 12:08:27.650
Directional Light,0,3,0,50,330,0,2024-05-03 12:08:27.650
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:08:27.650
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:08:27.650
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:08:27.650
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:08:27.650
Cursor,0.0273421,1.193436,-9.7,0,0,0,2024-05-03 12:08:27.650
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:08:28.652
Main Camera,0,1,-10,0,0,0,2024-05-03 12:08:28.652
Directional Light,0,3,0,50,330,0,2024-05-03 12:08:28.652
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:08:28.652
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:08:28.652
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:08:28.652
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:08:28.652
Cursor,-0.2744861,1.132033,-9.7,0,0,0,2024-05-03 12:08:28.652
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:08:29.776
Main Camera,0,1,-10,0,0,0,2024-05-03 12:08:29.776
Directional Light,0,3,0,50,330,0,2024-05-03 12:08:29.776
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:08:29.776
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:08:29.776
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:08:29.776
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:08:29.776
Cursor,-0.2918856,1.197695,-9.7,0,0,0,2024-05-03 12:08:29.776
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:08:30.775
Main Camera,0,1,-10,0,0,0,2024-05-03 12:08:30.775
Directional Light,0,3,0,50,330,0,2024-05-03 12:08:30.775
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:08:30.775
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:08:30.775
