Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:04:42.702
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:04:42.702
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:04:42.702
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:04:42.702
Directional Light,0,3,0,50,330,0,2024-05-04 19:04:42.702
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:04:42.702
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:04:42.702
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:04:42.702
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:04:42.702
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:04:42.702
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:04:44.720
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:04:44.720
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:04:44.720
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:04:44.720
Directional Light,0,3,0,50,330,0,2024-05-04 19:04:44.720
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:04:44.720
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:04:44.720
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:04:44.720
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:04:44.720
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:04:44.720
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:04:45.725
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:04:45.725
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:04:45.725
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:04:45.725
Directional Light,0,3,0,50,330,0,2024-05-04 19:04:45.725
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:04:45.726
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:04:45.726
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:04:45.726
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:04:45.726
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:04:45.726
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:04:46.730
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:04:46.730
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:04:46.730
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:04:46.730
Directional Light,0,3,0,50,330,0,2024-05-04 19:04:46.730
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:04:46.730
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:04:46.730
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:04:46.730
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:04:46.730
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:04:46.730
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:04:47.733
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:04:47.733
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:04:47.733
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:04:47.733
Directional Light,0,3,0,50,330,0,2024-05-04 19:04:47.733
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:04:47.733
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:04:47.733
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:04:47.733
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:04:47.733
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:04:47.733
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:04:49.822
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:04:49.822
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:04:49.822
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:04:49.822
Directional Light,0,3,0,50,330,0,2024-05-04 19:04:49.822
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:04:49.822
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:04:49.822
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:04:49.822
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:04:49.822
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:04:49.822
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:04:50.822
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:04:50.822
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:04:50.822
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:04:50.822
Directional Light,0,3,0,50,330,0,2024-05-04 19:04:50.822
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:04:50.822
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:04:50.822
