Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:17.234
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:17.236
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:17.236
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:17.236
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:17.236
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:17.236
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:17.236
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:17.236
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:17.236
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:19.424
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:19.424
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:19.424
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:19.424
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:19.424
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:19.424
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:19.424
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:19.424
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:19.424
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:20.429
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:20.429
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:20.429
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:20.429
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:20.429
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:20.429
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:20.429
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:20.429
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:20.429
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:21.436
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:21.436
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:21.436
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:21.436
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:21.436
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:21.436
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:21.436
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:21.436
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:21.436
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:22.439
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:22.440
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:22.440
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:22.440
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:22.440
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:22.440
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:22.440
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:22.440
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:22.440
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:23.444
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:23.444
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:23.444
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:23.444
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:23.444
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:23.444
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:23.444
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:23.444
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:23.444
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:24.447
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:24.447
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:24.447
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:24.447
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:24.447
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:24.447
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:24.447
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:24.447
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:24.447
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:25.447
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:25.447
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:25.447
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:25.447
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:25.447
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:44:25.447
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:44:25.447
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:44:25.447
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:44:25.447
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:44:26.448
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:44:26.448
Main Camera,0,1,-10,0,0,0,2024-05-03 12:44:26.448
Directional Light,0,3,0,50,330,0,2024-05-03 12:44:26.448
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:44:26.448
