Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:31.744
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:31.747
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:31.747
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:31.747
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:31.747
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:31.747
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:31.747
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:31.747
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:31.747
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:34.024
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:34.024
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:34.024
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:34.024
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:34.024
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:34.024
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:34.024
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:34.024
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:34.024
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:35.024
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:35.024
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:35.024
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:35.024
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:35.024
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:35.024
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:35.024
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:35.024
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:35.024
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:36.033
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:36.033
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:36.033
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:36.033
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:36.033
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:36.033
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:36.033
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:36.033
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:36.033
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:37.033
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:37.033
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:37.033
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:37.033
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:37.033
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:37.033
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:37.033
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:37.033
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:37.033
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:38.035
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:38.035
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:38.035
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:38.035
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:38.035
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:38.035
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:38.035
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:38.035
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:38.035
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:39.036
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:39.036
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:39.036
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:39.036
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:39.036
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:39.036
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:39.036
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:39.036
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:39.036
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:40.040
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:40.040
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:40.040
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:40.040
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:40.040
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:40.040
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:40.040
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:40.040
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:40.040
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:41.041
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:41.041
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:41.041
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:41.041
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:41.041
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:41.041
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:41.041
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:41.041
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:41.041
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:42.047
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:42.047
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:42.047
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:42.047
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:42.047
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:42.047
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:42.047
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:42.047
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:42.047
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:43.049
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:43.049
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:43.049
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:43.049
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:43.049
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:43.049
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:43.049
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:43.049
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:43.049
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:44.057
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:44.057
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:44.057
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:44.057
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:44.057
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:49:44.057
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:44.057
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:44.057
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:44.057
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:45.059
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:45.059
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:45.059
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:45.059
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:45.059
Sphere,3.92,0.33,1.04,0,0,0,2024-05-03 14:49:45.059
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:45.059
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:45.059
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:45.059
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:46.064
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:46.064
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:46.064
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:46.064
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:46.064
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:46.064
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:46.064
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:46.064
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:46.064
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:47.064
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:47.064
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:47.064
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:47.064
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:47.064
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:47.064
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:49:47.064
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:47.064
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:47.064
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:48.069
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:48.069
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:48.069
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:48.069
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:48.069
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:48.069
Cube,6.57,1.12,-2.86,0,0,0,2024-05-03 14:49:48.069
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:48.069
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:48.069
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:49.068
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:49.068
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:49.068
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:49.068
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:49.068
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:49.068
Cube,6.57,1.12,-2.86,0,0,0,2024-05-03 14:49:49.068
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:49.068
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:49.068
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:50.071
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:50.071
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:50.071
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:50.071
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:50.071
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:50.071
Cube,6.57,1.12,-2.86,0,0,42.40411,2024-05-03 14:49:50.071
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:50.071
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:50.071
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:51.078
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:51.078
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:51.078
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:51.078
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:51.078
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:51.078
Cube,6.57,1.12,-2.86,337.1004,337.3086,47.05848,2024-05-03 14:49:51.078
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:51.078
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:51.078
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:52.083
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:52.083
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:52.083
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:52.083
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:52.083
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:52.083
Cube,6.57,1.12,-2.86,337.1004,337.3086,47.05848,2024-05-03 14:49:52.083
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:52.083
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:52.083
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:53.085
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:53.085
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:53.085
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:53.085
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:53.085
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:53.085
Cube,6.57,1.12,-2.86,337.1004,337.3086,47.05848,2024-05-03 14:49:53.085
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:53.085
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:53.085
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:54.088
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:54.088
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:54.088
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:54.088
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:54.088
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:54.088
Cube,6.57,1.12,-2.86,337.1004,337.3086,47.05848,2024-05-03 14:49:54.088
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:54.088
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:54.088
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:49:55.097
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:49:55.097
Main Camera,0,1,-10,0,0,0,2024-05-03 14:49:55.097
Directional Light,0,3,0,50,330,0,2024-05-03 14:49:55.097
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:49:55.097
Sphere,0.91,0.33,1.04,0,0,0,2024-05-03 14:49:55.097
Cube,6.57,1.12,-2.86,337.1004,337.3086,47.05848,2024-05-03 14:49:55.097
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:49:55.097
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:49:55.097
