Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:44.908
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:44.908
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:44.908
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:44.908
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:44.908
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:44.908
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:44.908
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:44.908
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:44.908
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:44.908
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:46.879
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:46.879
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:46.879
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:46.879
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:46.879
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:46.879
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:46.879
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:46.879
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:46.879
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:46.879
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:47.885
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:47.885
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:47.885
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:47.885
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:47.885
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:47.885
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:47.885
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:47.885
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:47.885
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:47.885
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:48.890
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:48.890
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:48.890
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:48.890
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:48.890
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:48.891
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:48.891
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:48.891
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:48.891
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:48.891
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:49.892
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:49.892
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:49.892
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:49.892
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:49.893
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:49.893
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:49.893
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:49.893
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:49.893
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:49.893
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:50.893
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:50.893
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:50.893
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:50.893
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:50.893
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:50.893
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:50.893
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:50.893
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:50.893
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:50.893
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:51.895
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:51.895
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:51.895
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:51.895
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:51.895
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:51.895
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:51.895
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:51.895
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:51.895
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:51.895
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:52.900
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:52.901
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:52.901
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:52.901
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:52.901
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:52.901
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:52.901
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:52.901
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:52.901
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:52.901
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:53.905
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:53.905
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:53.905
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:53.905
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:53.905
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:53.905
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:53.905
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:53.905
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:53.905
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:53.905
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:00:54.910
eye,3.17,1.686975,-2.89,0,0,0,2024-05-04 19:00:54.910
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:00:54.910
Main Camera,2.61,1,-8.76,0,0,0,2024-05-04 19:00:54.910
Directional Light,0,3,0,50,330,0,2024-05-04 19:00:54.910
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:00:54.910
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:00:54.910
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:00:54.910
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:00:54.910
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:00:54.910
