Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:31.345
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:31.345
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:31.345
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:31.345
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:31.345
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:31.345
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:33:31.345
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:31.345
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:31.345
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:31.345
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:33.421
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:33.421
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:33.421
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:33.421
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:33.421
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:33.421
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:33:33.421
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:33.421
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:33.421
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:33.421
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:34.430
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:34.430
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:34.430
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:34.430
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:34.430
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:34.430
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:33:34.430
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:34.430
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:34.430
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:34.430
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:35.435
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:35.435
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:35.435
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:35.435
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:35.435
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:35.435
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:33:35.435
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:35.435
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:35.435
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:35.435
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:36.439
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:36.439
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:36.439
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:36.439
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:36.439
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:36.439
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:33:36.439
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:36.439
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:36.439
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:36.439
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:37.441
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:37.441
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:37.441
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:37.441
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:37.441
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:37.441
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:33:37.441
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:37.441
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:37.441
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:37.441
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:38.457
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:38.457
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:38.457
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:38.457
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:38.457
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:38.457
Sphere,-3.66,-0.67,5.08,0,0,0,2024-05-04 19:33:38.457
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:38.457
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:38.457
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:38.457
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:39.459
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:39.459
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:39.459
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:39.459
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:39.459
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:39.459
Sphere,1.15,-0.67,5.08,0,0,0,2024-05-04 19:33:39.459
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:39.459
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:39.459
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:39.459
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:40.466
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:40.466
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:40.466
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:40.466
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:40.466
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:40.466
Sphere,1.15,-0.67,10.42,0,0,0,2024-05-04 19:33:40.466
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:40.466
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:40.466
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:33:40.466
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:33:41.466
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:33:41.466
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:33:41.466
Main Camera,0,0,0,0,0,0,2024-05-04 19:33:41.466
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:33:41.466
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:33:41.467
Sphere,1.15,-0.67,10.42,0,0,0,2024-05-04 19:33:41.467
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:33:41.467
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:33:41.467
