Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:34:15.984
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:34:15.984
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:34:15.984
Main Camera,0,0,0,0,0,0,2024-05-04 19:34:15.984
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:34:15.984
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:34:15.984
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:34:15.984
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:34:15.984
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:34:15.984
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:34:15.984
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:34:18.120
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:34:18.120
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:34:18.120
Main Camera,0,0,0,0,0,0,2024-05-04 19:34:18.120
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:34:18.120
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:34:18.120
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:34:18.120
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:34:18.120
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:34:18.120
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:34:18.120
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:34:19.125
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:34:19.125
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:34:19.125
Main Camera,0,0,0,0,0,0,2024-05-04 19:34:19.125
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:34:19.125
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:34:19.125
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:34:19.125
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:34:19.125
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:34:19.125
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:34:19.125
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:34:20.180
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:34:20.180
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:34:20.180
Main Camera,0,0,0,0,0,0,2024-05-04 19:34:20.180
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:34:20.180
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:34:20.180
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:34:20.180
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:34:20.180
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:34:20.180
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:34:20.180
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:34:21.182
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:34:21.182
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:34:21.182
Main Camera,0,0,0,0,0,0,2024-05-04 19:34:21.182
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:34:21.182
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:34:21.182
Sphere,-2.8,-0.67,5.08,0,0,0,2024-05-04 19:34:21.182
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:34:21.182
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:34:21.182
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:34:21.182
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:34:22.188
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:34:22.188
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:34:22.189
Main Camera,0,0,0,0,0,0,2024-05-04 19:34:22.189
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:34:22.189
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:34:22.189
Sphere,-1.64,-0.67,5.08,0,0,0,2024-05-04 19:34:22.189
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:34:22.189
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:34:22.189
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:34:22.189
