Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:39:27.533
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:39:27.533
Main Camera,0,1,-10,0,0,0,2024-05-03 14:39:27.533
Directional Light,0,3,0,50,330,0,2024-05-03 14:39:27.533
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:39:27.533
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:39:27.533
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:39:27.533
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:39:27.533
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:39:27.533
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:39:29.621
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:39:29.621
Main Camera,0,1,-10,0,0,0,2024-05-03 14:39:29.621
Directional Light,0,3,0,50,330,0,2024-05-03 14:39:29.621
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:39:29.621
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:39:29.621
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:39:29.621
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:39:29.621
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:39:29.621
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:39:30.627
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:39:30.627
Main Camera,0,1,-10,0,0,0,2024-05-03 14:39:30.627
Directional Light,0,3,0,50,330,0,2024-05-03 14:39:30.627
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:39:30.627
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:39:30.627
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:39:30.627
